Institution,CDS_Year,AcceptanceRate_FTFY,Yield_FTFY,FY_Retention,4yrGradRate_Total,5yrGradRate_Total,6yrGradRate_Total,4yrGradRate_Pell,5yrGradRate_Pell,6yrGradRate_Pell,4yrGradRate_SubsidizedNoPell,5yrGradRate_SubsidizedNoPell,6yrGradRate_SubsidizedNoPell,4yrGradRate_Neither,5yrGradRate_Neither,6yrGradRate_Neither,StickerCOA,COA_YoY_Change,COA_5yr_CAGR,AvgPackage_Freshmen,AvgNeedGrant_Freshmen,PctNeedMet_Freshmen,EstNetPrice_AidedFreshmen,PctClasses_Under20,PctClasses_50plus,StudentFacultyRatio,Transfer_AcceptRate,Transfer_Yield,DiversityPct_Nonresident aliens,DiversityPct_Hispanic/Latino,"DiversityPct_Black or African American, non-Hispanic","DiversityPct_White, non-Hispanic","DiversityPct_American Indian or Alaska Native, non-Hispanic","DiversityPct_Asian, non-Hispanic","DiversityPct_Native Hawaiian or other Pacific Islander, non-Hispanic","DiversityPct_Two or more races, non-Hispanic",DiversityPct_Race/ethnicity unknown,PctSubmitting_SAT,PctSubmitting_ACT,SAT_EBRW_25,SAT_EBRW_75,SAT_Math_25,SAT_Math_75,ACT_Composite_25,ACT_Composite_75,PctHSRank_Top10,PctHSRank_Top25,PctHSRank_Top50,PctHSRank_Submitted,AvgHS_GPA_All,PctHS_GPA_Submitted,Tuition,Fees,Room,Board,AvgAidPackage_Freshmen
Harvard,2020-2021,0.05006459948,0.6982630273,0.75,0.8593086719,0.9593693147,0.9763493026,0.8130081301,0.9430894309,0.9715447154,0.9285714286,0.9285714286,0.9285714286,0.8668106551,0.962562995,0.9776817855,74528,,,62338,60745,1,13783,0.7632135307,0.100422833,5,0.01235465116,0.8823529412,0.1198774416,0.1204519341,0.1129835312,0.3312906932,0.002297970126,0.2271160475,0.0007659900421,0.07104557641,0.01417081578,0.72,0.45,720,780,740,800,33,35,0.94,0.98,0.996,0.39,4.22,0.9502,51143,4444,11705,7236,62338
Harvard,2021-2022,0.04011352231,0.8416738568,0.96,,,0.967430639,,,0.939393939,,,1,,,0.9725235,76763,,,,,1,,0.7061143984,0.1114398422,7:1,0.008175779254,0.875,0.1305745841,0.1161750315,0.09296798546,0.3541171536,0.00223682371,0.2173913043,0.0009786103733,0.07437438837,0.01118411855,0.54,0.31,730,780,750,800,33,36,0.931,0.989,0.997,0.31,4.2,0.9974,52659,4602,12056,7446,62252
Harvard,2022-2023,0.03240718054,0.8296370968,0.98,,,0.97769741,,,0.96825397,,,1,,,0.97921147,79450,,,,,1,,0.7061657033,0.1252408478,7:1,0.008645533141,0.8,0.1383977901,0.1178176796,0.09185082873,0.3370165746,0.002762430939,0.2243093923,0.00138121547,0.07555248619,0.01091160221,0.55,0.28,730,780,760,800,34,36,0.922,0.976,0.998,0.3,4.2,0.997,54269,4807,12424,7950,67898
Harvard,2023-2024,0.03451182886,0.8371501272,0.99,0.6591448931,0.283847981,0.03206650831,0.719858156,0.2234042553,0.01773049645,0.6923076923,0.3076923077,0,0.6465082793,0.2958963283,0.03527717783,82866,,,70478,67949,1,12388,0.7339366516,0.1158371041,7:1,0.00792811839,0.9333333333,0.1394789012,0.1169640329,0.09459076749,0.3181818182,0.00325686774,0.2370433305,0.00127442651,0.07703200227,0.0121778533,0.52,0.22,740,780,760,800,34,36,0.944,0.9938,0.9979,0.29,4.2,0.994,56550,5126,12922,8268,70478
Harvard,2024-2025,0.036476,0.836041,0.98,0.556806,0.942712,0.975829,0.643564,0.90759,0.946866,0.285714,1,1,0.538787,0.951692,0.980045,86926,,,74387,73497,1,13429,0.717164,0.115672,7:1,0.007092,0.8125,0.156758,0.11458,0.08927,0.296825,0.00341,0.234613,0.001563,0.076963,0.026296,0.54,0.19,740,780,770,800,34,36,0.94,0.99,1,0.29,4.21,0.9921,59320,5476,13532,8598,74387
Brown,2020-2021,0.07669937216,0.6204819277,0.916,0.838150289,0.09826589595,0.9524727039,0.7896551724,0.1137931034,0.924137931,0.88,0.08,0.972,0.8416912488,0.09832841691,0.9557522124,78668,0,0,56474,54823,1,23845,0.6977964323,0.1133263379,6:1,0.03532490188,0.6790123457,0.1188162544,0.1096878681,0.07096584217,0.4082744405,0.003533568905,0.1822732627,0.001472320377,0.06154299176,0.04343345112,0.7,0.43,710,770,730,790,33,35,0.987,1,1,0.23,,,60944,1360,10054,6310,56474
Brown,2021-2022,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,2022-2023,0.05058342712,0.6701795472,0.987,0.854154214,0.0747160789,0.949790795,0.7747747748,0.09009009009,0.9009009009,0.8821292776,0.06463878327,0.9619771863,0.8627946128,0.07407407407,0.9562289562,84728,,,62234,59928,1,24800,0.6822276822,0.1179361179,6:1,0.05359661495,0.6776315789,0.136667103,0.112841995,0.07788977615,0.3637910721,0.003534494044,0.1816991753,0.001701793428,0.07409346773,0.04778112318,0.54,0.27,730,780,760,800,34,36,0.93,0.97,1,0.222,,,65656,2474,9650,6948,62234
Brown,2023-2024,0.052342,0.63105,0.985,0.8022,0.9388,0.9571,0.7749,0.9004,0.9307,0.8176,0.9392,0.9527,0.8038,0.9467,0.9638,88756,,,67872,63523,1,25233,0.6691,0.1249,6:1,0.04153,0.657895,0.132,0.1165,0.0818,0.3386,0.26,0.1944,0.13,0.0762,0.0566,0.54,0.22,740,770,760,800,34,35,0.92,0.99,1,0.28,,,68612,2700,9940,7504,67872
Brown,2024-2025,0.053942,0.65163,0.988,0.7711,0.9369,0.9569,0.7411,0.8973,0.9196,0.7375,0.9188,0.9438,0.7807,0.9462,0.9652,93064,0.0485,,68926,65370,1,27694,0.6769,0.1266,6:1,0.071979,0.674419,0.1351,0.1125,0.0753,0.3035,0.19,0.2121,0.1,0.0737,0.0847,0.61,0.24,740,780,770,800,34,35,0.89,0.98,1,0.306,,,71700,2850,10410,8104,68926
Columbia,2020-2021,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,2021-2022,0.0373,0.54,0.93,0.7209,0.2209,0.0233,0.8889,0,0.1111,0,0.1,0,0.7105,0.2368,0.0132,78980,,,25584,20293,0.497,70805,0.5715,0.1445,6:1,0.5789,0.5414,,,,,,,,,,26,17,670,740,710,800,32,34,,,,,,,60420,2818,15750,5310,25584
Columbia,2022–2023,0.0383,0.5168,0.94,0.7736,0.0849,0.0566,0.5,0.125,0.25,0.5,0.3333,0,0.8152,0.0652,0.0435,81680,,,,39465,0.614,55942,,,6:1,0.5623,0.5554,,,,,,,,,,,,703,750,763,790,32,34,,,,,,,63060,3425,16425,5580,42457
Columbia,2023–2024,0.0399,0.5584,0.89,0.7449,0.1122,0.051,0.5,0.1,0,1,0,0,0.7701,0.1149,0.0575,85200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65640,3058,13743,6885,27570
Columbia,2024-2025,0.0386,0.4901960784,0.98,0.5625,0.9196428571,0.9464285714,0.3333333333,0.5,0.6666666667,1,1,1,0.5714285714,0.9428571429,0.9619047619,88750,,,46800,43584,0.73,53231,0.5756981872,0.137677609,6:1,0.5240601504,0.5882352941,0.2050414666,0.150698385,0.0735486687,0.2810999564,0.002509821039,0.1834351811,0.001855085116,0.06132693147,0.04048450458,0.17,0.08,710,750,750,780,33,34,,,,,,,68280,555,14706,5958,46800
Cornell,2020-2021,0.107,0.5892,0.96,0.8883,0.9415,0.9536,0.8199,0.9151,0.9379,0.8929,0.9334,0.9481,0.9026,0.9499,0.9589,77461,,,52017,47574,100,25444,0.6246,0.1351,0.0871,0.184,0.7672,0.0972,0.1464,0.0717,0.3474,0.0024,0.2083,0.0011,0.0501,0.0755,0.73,0.36,680,750,720,790,32,35,0.837,0.979,0.999,0.223,,,60286,729,9962,6484,52017
Cornell,2021-2022,0.08685069754,0.6353383459,0.97,0.8815001576,0.9366530098,0.9476835802,0.8078512397,0.8842975207,0.9090909091,0.8664259928,0.9350180505,0.9458483755,0.9021077283,0.9489461358,0.9569086651,80288,,,55604,51026,1,24684,0.5467068446,0.1907016789,9:1,0.1572444144,0.7050592034,0.1004966781,0.1473908276,0.07282461459,0.3396116881,0.002773656712,0.2160872089,0.001225569245,0.0529574921,0.06663226472,0.41,0.2,700,760,750,800,33,35,0.842,0.965,0.996,0.223,,,62456,744,10426,6662,55604
Cornell,2022-2023,0.0692098814,0.675503096,0.9689,,,0.9528,,,,,,,,,,83196,,,,,,,,,,,,,,,,,,,,,,,710,770,750,800,33,35,0.82,0.96,1,0.194,,,65204,810,11562,6992,59644
Cornell,2023-2024,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,2024-2025,0.0847296819,0.6601343785,0.98,0.8711031175,0.9385491607,0.9514388489,0.8122605364,0.9003831418,0.9291187739,0.8692307692,0.9384615385,0.9492307692,0.8858595194,0.9477818854,0.9574861368,88742,,,62442,59302,1,29440,0.5428812843,0.1905365441,9,0.1267284607,0.7601918465,0.09470124014,0.1447898212,0.07497181511,0.3217104204,0.002013206636,0.2457722661,0.001288452247,0.0537928813,0.06095989692,0.42,0.14,,,,,,,0.817,0.945,0.995,0.173,,,68380,934,12296,7132,62442
Dartmouth,2020-2021,0.0922,0.536,0.961,0.8748,0.933,0.947,0.7987,0.8805,0.9057,0.8696,0.942,0.942,0.8883,0.9414,0.9544,77131,,,56579,55163,1,20552,0.6336,0.0571,7:1,0.2857,0.5513,0.1074,0.1034,0.0588,0.4882,0.0134,0.1516,0.001,0.058,0.0182,0.57,0.43,710,770,730,790,32,35,0.928,0.987,0.998,0.496,,,57796,2313,10362,6660,56579
Dartmouth,2021-2022,0.0617,0.7017,0.979,0.856,0.9199,0.9343,0.7607,0.8773,0.8957,0.8571,0.9082,0.9184,0.8741,0.9294,0.9435,80757,0.047,,64588,63279,1,16169,0.619,0.0749,7.2:1,0.0989,0.5581,0.1185,0.0996,0.0533,0.496,0.0116,0.1411,0.0002,0.0612,0.0182,,,,,,,,,0.941,0.987,0.995,0.49,,,60687,1971,10881,7218,64588
Dartmouth,2022-2023,0.06380575946,0.6216814159,0.98,0.8449820789,0.9318996416,0.9471326165,0.7575757576,0.896969697,0.9151515152,0.9,0.9428571429,0.95,0.8532675709,0.9371146732,0.9531442663,84748,,,68902,67140,1,17608,0.614379085,0.05555555556,7,0.0734557596,0.6590909091,0.1388515029,0.09623149394,0.05966801256,0.4712875729,0.01121579183,0.1350381337,0.0002243158367,0.06729475101,0.0201884253,,,,,,,,,0.945,0.983,0.998,0.48,,,63684,2055,11418,7591,68902
Dartmouth,2023-2024,0.06230713221,0.67278798,0.98,0.84184514,0.9505766063,0.9596375618,0.8181818182,0.9034090909,0.9204545455,0.8255813953,0.9302325581,0.9302325581,0.8498845266,0.9642032333,0.9734411085,88267,0.04152310379,,67600.09,67790.19,1,20476.81,0.615625,0.0484375,6.2,0.015625,0.5833333333,0.1432426355,0.09354621093,0.06116483022,0.4598605802,0.01056892287,0.1373959973,0,0.0692601754,0.02383629413,,,,,,,,,0.935,0.984,0.994,0.51,,,66123,2145,12018,7981,67600.09
Dartmouth,2024-2025,0.054018,0.691228,0.984,0.747856,0.93825,0.954545,0.740113,0.881356,0.915254,0.716418,0.902985,0.932836,0.754386,0.955556,0.966082,88267,,,71318,69466,1,18801,0.584395,0.057325,6.5,0.066524,0.516129,0.154923,0.097812,0.06105,0.437418,0.011379,0.129103,0,0.074836,0.033479,,,,,,,,,0.44,0.93,1,0.99,,,66123,2145,12018,7981,71318
Yale,2020-2021,0.0653,0.5498,0.65,0.8395,0.9462,0.9639,0.7959,0.9184,0.9439,0.88,0.96,0.96,0.8461,0.9507,0.9675,77750,,,61407,60593,1,16343,0.7689,0.0794,4:1,0.0168,0.6364,0.1004,0.1503,0.091,0.3496,0.0028,0.2388,0.0011,0.0623,0.0038,0.7,0.46,720,780,740,800,33,35,0.94,0.99,1,0.34,,0.8,59950,,10100,7700,61407
Yale,2021-2022,0.0531,0.7118,0.98,0.8767,0.9611,0.9692,0.8274,0.9071,0.9292,0.9444,0.9722,0.9722,0.8845,0.9718,0.9773,80700,0.0379,,67437,65762,1,13263,0.7073,0.106,6:1,0.0075,0.8667,0.103,0.1487,0.0802,0.3716,0.0037,0.214,0.0012,0.0672,0.0104,0.54,0.35,730,780,750,800,33,35,0.97,0.99,1,0.28,,,62250,,10500,7950,67437
Yale,2022-2023,0.04572512984,0.6788990826,0.98,0.8814923189,0.9546452085,0.9780541331,0.8504672897,0.9018691589,0.9345794393,1,1,1,0.8834080717,0.9632286996,0.9856502242,83880,,,70295,68240,1,15640,0.7213822894,0.09215262779,6,0.0162189559,0.71875,0.1038374718,0.147930775,0.08306997743,0.3515425132,0.00316027088,0.2239277652,0.001504890895,0.07103085026,0.01399548533,0.59,0.29,740,780,760,800,33,35,0.97,0.99,1,0.2805,,0,64700,,10900,8280,70295
Yale,2023-2024,0.04501669787,0.7036878216,0.99,0.6611779607,0.9392020266,0.9632678911,0.662745098,0.9019607843,0.9254901961,0.7674418605,0.9302325581,0.9534883721,0.6572989852,0.9469164715,0.9711163154,87150,0.03898426323,,72376,71577,1,15573,0.7240905971,0.09746053535,6,0.0121703854,0.8888888889,0.1061894984,0.1572308595,0.08829568789,0.3237019654,0.004106776181,0.2283660898,0.001466705779,0.07216192432,0.01848049281,0.56,0.26,740,780,760,800,33,35,0.96,0.99,1,0.28,,0,67250,,11300,8600,72376
Yale,2024-2025,0.03871898743,0.6977997306,0.988,0.5750636132,0.9268447837,0.9573791349,0.6293929712,0.9041533546,0.9520766773,0.6666666667,1,1,0.5592532468,0.9310064935,0.9577922078,90550,,,75093,74040,1,15457,0.7319665907,0.09187547456,5,0.01459854015,0.7666666667,0.1109480481,0.1645142354,0.09216319343,0.3098033461,0.003962430291,0.2176401526,0.001614323452,0.07029644849,0.02905782213,0.61,0.25,730,780,740,790,33,35,0.96,0.99,1,0.33,,0,69900,,11550,9100,75093
Princeton,2020-2021,0.056281,0.624459,0.833,0.896262,0.964912,0.979405,0.86087,0.956522,0.978261,1,1,1,0.903525,0.966605,0.979592,71710,,,50459,50201,1,21251,0.775654,0.089537,4,0.016575,0.866667,0.116468,0.106442,0.089164,0.363055,0.00192,0.251493,0.001067,0.059087,0.011305,0.71,0.45,710,770,740,800,32,35,,,,,3.92,0.9922,53890,0,10480,7340,50459
Princeton,2021-2022,0.043802,0.783242,0.958,0.895137,0.959726,0.975684,0.851351,0.936937,0.963964,0.5,1,1,0.904762,0.964286,0.978022,76040,0.060382,,61731,61731,1,14309,0.750996,0.095618,5,0.013333,0.777778,0.116501,0.105233,0.08327,0.385027,0.00191,0.228992,0.000955,0.064171,0.013942,0.56,0.35,720,770,740,800,33,35,,,,,3.93,0.9915,57410,0,10960,7670,61731
Princeton,2022-2023,0.05699781688,0.6917397323,0.97,0.8812260536,0.954789272,0.9770114943,0.8544776119,0.9402985075,0.9701492537,0.5,0.5,1,0.8896418199,0.9603097773,0.9787028074,79090,,,62844,62844,1,16246,0.7399411187,0.1000981354,5,0.02914238135,0.8,0.1252707581,0.1,0.07960288809,0.3747292419,0.001263537906,0.2344765343,0.001083032491,0.06805054152,0.0155234657,0.6,0.25,740,780,760,800,34,35,0.93,0.98,0.99,0.3,3.95,0.9926,59710,0,11400,7980,62844
Princeton,2023-2024,0.04495005549,0.7665544332,0.97,0.7963246554,0.950229709,0.9709035222,0.8163265306,0.9455782313,0.9659863946,1,1,1,0.7898909812,0.9890981169,0.9722497522,82650,0.04501201163,,70246,70246,1,12404,0.7306949807,0.1013513514,5,0.03085642317,0.6734693878,0.1255805645,0.0977134691,0.08556627367,0.3585209003,0.001429081815,0.2363344051,0.001071811361,0.0698463737,0.0239371204,0.57,0.2,740,780,760,800,34,35,,,,,3.94,0.993,62400,0,11910,8340,70246
Princeton,2024-2025,0.0462,0.7548,0.98,0.7532,0.9521,0.9761,0.7838,0.9219,0.973,0.8333,1,1,0.7425,0.9619,0.977,86988,,,71237,71237,1,,0.7552,0.0996,5,0.0191,0.9474,0.1292,0.0993,0.0858,0.3312,0.0015,0.231,0.0005,0.071,0.0504,0.56,0.21,740,780,770,800,34,35,,,,,3.95,0.993,,,,,71237
Upenn,2020-2021,0.08977609288,0.6133544471,0.95,0.8579931973,0.9353741497,0.9553571429,0.7894736842,0.8947368421,0.9210526316,0.8407079646,0.9292035398,0.9292035398,0.8697674419,0.942118863,0.9622739018,79014,,,58352,55993,1,23021,0.6959755031,0.08836395451,6,0.0786113328,0.654822335,0.1186911699,0.1000448229,0.07978484984,0.3811743613,0.001255042582,0.234513671,0.0005378753922,0.05073957866,0.03325862842,0.65,0.35,710,770,750,800,33,35,0.96,0.99,1,0.26,3.9,0.97,54652,7058,11358,5946,58352
Upenn,2021-2022,0.05865227579,0.7318401937,0.977,0.8920621588,0.9512809744,0.962200756,0.8527607362,0.9417177914,0.9539877301,0.9065420561,0.9626168224,0.9813084112,0.8978439425,0.9522587269,0.9625256674,75594,,,54954,53221,1,22373,0.6785878038,0.08849151765,6,0.04579067122,0.7329192547,0.1316000803,0.1031921301,0.07759486047,0.3362778559,0.001104195945,0.2624974905,0.0003011443485,0.04768118852,0.03975105401,0.49,0.3,720,770,760,800,33,35,0.93,0.98,1,0.28,,,56212,7240,10054,2088,54954
Upenn,2022-2023,0.06501428885,0.6787827557,0.04,0.8773662551,0.9481481481,0.9609053498,0.832807571,0.9148264984,0.927444795,0.8514851485,0.9306930693,0.9306930693,0.8856858847,0.9542743539,0.967693837,84600,,,62265,59883,1,22335,0.589386914,0.1988665636,8,0.05266154284,0.6054054054,0.1340163934,0.1036885246,0.07899590164,0.3081967213,0.00112704918,0.2754098361,0.0001024590164,0.05235655738,0.04610655738,0.48,0.23,730,770,770,800,34,35,0.93,0.98,1,0.24,3.9,0.96,58620,7484,12166,6330,62265
Upenn,2023-2024,0.05867316909,0.6924620235,0.01,0.8802320763,0.9569001243,0.9676750932,0.8454258675,0.9337539432,0.9495268139,0.8938053097,0.9292035398,0.9557522124,0.8850226929,0.9621785174,0.9712556732,87860,,,65883,63395,1,21977,0.5842519685,0.1921259843,8,0.04581724582,0.7415730337,0.1299649825,0.1112556278,0.08454227114,0.2803401701,0.0012006003,0.2928464232,0.00020010005,0.05442721361,0.04522261131,0.51,0.19,730,770,770,800,34,35,0.92,0.98,1,0.23,3.9,0.96,60920,7766,12640,6534,65883
Upenn,2024-2025,0.054004,0.679818,0.988,0.864579,0.947133,0.965433,0.851735,0.914826,0.927445,0.839623,0.943396,0.95283,0.867878,0.952358,0.972004,91112,,,70971,68578,1,20141,0.588144,0.196392,8,0.032073,0.689655,0.132528,0.116149,0.087486,0.257965,0.001498,0.296015,0.0002,0.05363,0.054529,0.5,0.17,740,770,770,800,34,36,0.91,0.99,1,0.22,3.9,0.91,63204,8032,13132,6744,70971